កករចិត្ត	កករ|ចិត្ត	ក・ក・រ・ច・ិ・ត・្・ត
ទ្រាន់ចិត្ត	ទ្រាន់|ចិត្ត	ទ・្・រ・ា・ន・់・ច・ិ・ត・្・ត
ទ្រើសចិត្ត	ទ្រើស|ចិត្ត	ទ・្・រ・ើ・ស・ច・ិ・ត・្・ត
ទ្វិបត្តសត្វ	ទ្វិបត្ត|សត្វ	ទ・្・វ・ិ・ប・ត・្・ត・ស・ត・្・វ
ទ្វេបត្ត	ទ្វេ|បត្ត	ទ・្・វ・េ・ប・ត・្・ត
ធនលាភឩត្តរជីវី	ធន|លាភ|ឩត្តរ|ជីវី	ធ・ន・ល・ា・ភ・ឩ・ត・្・ត・រ・ជ・ី・វ・ី
ធម្មចក្កប្បវត្តនសូត្រ	ធម្ម|ចក្កប្បវត្តន|សូត្រ	ធ・ម・្・ម・ច・ក・្・ក・ប・្・ប・វ・ត・្・ត・ន・ស・ូ・ត・្・រ
ធម្មប្បដិបត្តិ	ធម្ម|ប្បដិបត្តិ	ធ・ម・្・ម・ប・្・ប・ដ・ិ・ប・ត・្・ត・ិ
ធម្មយុត្ត	ធម្ម|យុត្ត	ធ・ម・្・ម・យ・ុ・ត・្・ត
ធម្មយុត្តិ	ធម្ម|យុត្តិ	ធ・ម・្・ម・យ・ុ・ត・្・ត・ិ
ធម្មយុត្តិកនិកាយ	ធម្ម|យុត្តិក|និកាយ	ធ・ម・្・ម・យ・ុ・ត・្・ត・ិ・ក・ន・ិ・ក・ា・យ
ធរមានប្បញ្ញត្តិ	ធរ|មាន|ប្បញ្ញត្តិ	ធ・រ・ម・ា・ន・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
ធ្ងន់ចិត្តកណ្ដុក	ធ្ងន់|ចិត្ត|កណ្ដុក	ធ・្・ង・ន・់・ច・ិ・ត・្・ត・ក・ណ・្・ដ・ុ・ក
ធ្យានចិត្ត	ធ្យាន|ចិត្ត	ធ・្・យ・ា・ន・ច・ិ・ត・្・ត
នក្ខត្ត	នក្ខត្ត	ន・ក・្・ខ・ត・្・ត
នក្ខត្តឫក្ស	នក្ខ|ត្ត|ឫក្ស	ន・ក・្・ខ・ត・្・ត・ឫ・ក・្・ស
នគរវត្ត	នគរវត្ត	ន・គ・រ・វ・ត・្・ត
នត្តា	នត្តា	ន・ត・្・ត・ា
នព្វលោកុត្តរ	នព្វ|លោកុត្តរ	ន・ព・្・វ・ល・ោ・ក・ុ・ត・្・ត・រ
នព្វលោកុត្តរធម៌	នព្វ|លោកុត្តរ|ធម៌	ន・ព・្・វ・ល・ោ・ក・ុ・ត・្・ត・រ・ធ・ម・៌
នរោត្តម	នរោត្តម	ន・រ・ោ・ត・្・ត・ម
នវានុវត្តន៍	នវានុវត្តន៍	ន・វ・ា・ន・ុ・វ・ត・្・ត・ន・៍
នាមប្បញ្ញត្តិ	នាម|ប្បញ្ញត្តិ	ន・ា・ម・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
និច្ចភត្ត	និច្ច|ភត្ត	ន・ិ・ច・្・ច・ភ・ត・្・ត
និមិត្ត	និមិត្ត	ន・ិ・ម・ិ・ត・្・ត
និមិត្តរូប	និមិត្ត|រូប	ន・ិ・ម・ិ・ត・្・ត・រ・ូ・ប
និមិត្តរូបនិយម	និមិត្ត|រូប|និយម	ន・ិ・ម・ិ・ត・្・ត・រ・ូ・ប・ន・ិ・យ・ម
និមិត្តរូបារម្មណ៍	និមិត្ត|រូបារម្មណ៍	ន・ិ・ម・ិ・ត・្・ត・រ・ូ・ប・ា・រ・ម・្・ម・ណ・៍
និមិត្តសញ្ញា	និមិត្ត|សញ្ញា	ន・ិ・ម・ិ・ត・្・ត・ស・ញ・្・ញ・ា
និមិត្តសីមា	និមិត្ត|សីមា	ន・ិ・ម・ិ・ត・្・ត・ស・ី・ម・ា
និមិត្តហេតុ	និមិត្ត|ហេតុ	ន・ិ・ម・ិ・ត・្・ត・ហ・េ・ត・ុ
និមុត្តិ	និមុត្តិ	ន・ិ・ម・ុ・ត・្・ត・ិ
និមុត្តិកិច្ច	និមុត្តិ|កិច្ច	ន・ិ・ម・ុ・ត・្・ត・ិ・ក・ិ・ច・្・ច
និមុត្តិធានា	និមុត្តិ|ធានា	ន・ិ・ម・ុ・ត・្・ត・ិ・ធ・ា・ន・ា
និរុត្តិ	និរុត្តិ	ន・ិ・រ・ុ・ត・្・ត・ិ
និរុត្តិប្បដិសម្ភិទា	និរុត្តិ|ប្បដិសម្ភិទា	ន・ិ・រ・ុ・ត・្・ត・ិ・ប・្・ប・ដ・ិ・ស・ម・្・ភ・ិ・ទ・ា
និរុត្តិវិទូ	និរុត្តិ|វិទូ	ន・ិ・រ・ុ・ត・្・ត・ិ・វ・ិ・ទ・ូ
និរុត្តិសាស្ត្រ	និរុត្តិ|សាស្ត្រ	ន・ិ・រ・ុ・ត・្・ត・ិ・ស・ា・ស・្・ត・្・រ
និរុត្តិសាស្ត្រគម្ពីរ	និរុត្តិ|សាស្ត្រ|គម្ពីរ	ន・ិ・រ・ុ・ត・្・ត・ិ・ស・ា・ស・្・ត・្・រ・គ・ម・្・ព・ី・រ
និរោធសមាបត្តិ	និរោធ|សមាបត្តិ	ន・ិ・រ・ោ・ធ・ស・ម・ា・ប・ត・្・ត・ិ
និវត្ត	និវត្ត	ន・ិ・វ・ត・្・ត
និវត្តជន	និវត្ត|ជន	ន・ិ・វ・ត・្・ត・ជ・ន
និវត្តនាការ	និវត្ត|នាការ	ន・ិ・វ・ត・្・ត・ន・ា・ក・ា・រ
និវត្តន៍	និវត្តន៍	ន・ិ・វ・ត・្・ត・ន・៍
និស្សយមុត្តកៈ	និស្ស|យមុត្តកៈ	ន・ិ・ស・្・ស・យ・ម・ុ・ត・្・ត・ក・ៈ
និស្សយមុត្តិកា	និស្ស|យមុត្តិកា	ន・ិ・ស・្・ស・យ・ម・ុ・ត・្・ត・ិ・ក・ា
នីតិប្បញ្ញត្តិ	នីតិ|ប្បញ្ញត្តិ	ន・ី・ត・ិ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
នីតិប្រតិបត្តិ	នីតិ|ប្រតិបត្តិ	ន・ី・ត・ិ・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
បកវត្ត	បក|វត្ត	ប・ក・វ・ត・្・ត
បច្ចាមិត្ត	បច្ចា|មិត្ត	ប・ច・្・ច・ា・ម・ិ・ត・្・ត
បច្ឆាភត្ត	បច្ឆា|ភត្ត	ប・ច・្・ឆ・ា・ភ・ត・្・ត
បច្ឆាភត្តកាល	បច្ឆា|ភត្ត|កាល	ប・ច・្・ឆ・ា・ភ・ត・្・ត・ក・ា・ល
បច្ឆាភត្តកិច្ច	បច្ឆា|ភត្ត|កិច្ច	ប・ច・្・ឆ・ា・ភ・ត・្・ត・ក・ិ・ច・្・ច
បច្ឆិមត្តភាព	បច្ឆិម|ត្ត|ភាព	ប・ច・្・ឆ・ិ・ម・ត・្・ត・ភ・ា・ព
បច្ឆិមភវិកសត្ត	បច្ឆិម|ភវិក|សត្ត	ប・ច・្・ឆ・ិ・ម・ភ・វ・ិ・ក・ស・ត・្・ត
បញ្ចាំចិត្ត	បញ្ចាំ|ចិត្ត	ប・ញ・្・ច・ា・ំ・ច・ិ・ត・្・ត
បញ្ជោកចិត្ត	បញ្ជោក|ចិត្ត	ប・ញ・្・ជ・ោ・ក・ច・ិ・ត・្・ត
បញ្ញត្ត	បញ្ញត្ត	ប・ញ・្・ញ・ត・្・ត
បញ្ញត្តិ	បញ្ញត្តិ	ប・ញ・្・ញ・ត・្・ត・ិ
បញ្ញត្តិកម្ម	បញ្ញត្តិ|កម្ម	ប・ញ・្・ញ・ត・្・ត・ិ・ក・ម・្・ម
បញ្ញត្តិករ	បញ្ញត្តិករ	ប・ញ・្・ញ・ត・្・ត・ិ・ក・រ
បញ្ញត្តិ–	បញ្ញត្តិ|–	ប・ញ・្・ញ・ត・្・ត・ិ・–
បដិឃចិត្ត	បដិឃ|ចិត្ត	ប・ដ・ិ・ឃ・ច・ិ・ត・្・ត
បដិបញ្ញត្តិ	បដិបញ្ញត្តិ	ប・ដ・ិ・ប・ញ・្・ញ・ត・្・ត・ិ
បដិបត្តិ	បដិបត្តិ	ប・ដ・ិ・ប・ត・្・ត・ិ
បដិប្បញ្ញត្ត	បដិប្បញ្ញត្ត	ប・ដ・ិ・ប・្・ប・ញ・្・ញ・ត・្・ត
បដិប្បញ្ញត្តិ	បដិប្បញ្ញត្តិ	ប・ដ・ិ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
បដិភាគនិមិត្ត	បដិភាគ|និមិត្ត	ប・ដ・ិ・ភ・ា・គ・ន・ិ・ម・ិ・ត・្・ត
បដិវត្ត	បដិវត្ត	ប・ដ・ិ・វ・ត・្・ត
បដិវត្តន៍	បដិវត្តន៍	ប・ដ・ិ・វ・ត・្・ត・ន・៍
បដិវត្តន៍កសិកម្ម	បដិវត្តន៍|កសិ|កម្ម	ប・ដ・ិ・វ・ត・្・ត・ន・៍・ក・ស・ិ・ក・ម・្・ម
បដិវត្តន៍បៃតង	បដិវត្តន៍|បៃតង	ប・ដ・ិ・វ・ត・្・ត・ន・៍・ប・ៃ・ត・ង
បដិវត្តបុគ្គល	បដិវត្ត|បុគ្គល	ប・ដ・ិ・វ・ត・្・ត・ប・ុ・គ・្・គ・ល
បឋមប្បញ្ញត្តិ	បឋម|ប្បញ្ញត្តិ	ប・ឋ・ម・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
បឋមាវិភត្តិ	បឋ|មាវិភត្តិ	ប・ឋ・ម・ា・វ・ិ・ភ・ត・្・ត・ិ
បណ្ដូលចិត្ត	បណ្ដូល|ចិត្ត	ប・ណ・្・ដ・ូ・ល・ច・ិ・ត・្・ត
បត្តបិណ្ឌិកង្គៈ	បត្ត|បិណ្ឌិកង្គៈ	ប・ត・្・ត・ប・ិ・ណ・្・ឌ・ិ・ក・ង・្・គ・ៈ
បត្តាធារ	បត្តា|ធារ	ប・ត・្・ត・ា・ធ・ា・រ
បត្តានីក	បត្តានីក	ប・ត・្・ត・ា・ន・ី・ក
បត្តានុមោទនាមយៈ	បត្តានុមោទនា|មយៈ	ប・ត・្・ត・ា・ន・ុ・ម・ោ・ទ・ន・ា・ម・យ・ៈ
បត្តិទានមយៈ	បត្តិ|ទាន|មយៈ	ប・ត・្・ត・ិ・ទ・ា・ន・ម・យ・ៈ
បទបញ្ញត្តិ	បទ|បញ្ញត្តិ	ប・ទ・ប・ញ・្・ញ・ត・្・ត・ិ
បទប្បញ្ញត្តិ	បទ|ប្បញ្ញត្តិ	ប・ទ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
បទេសបញ្ញត្តិ	បទេស|បញ្ញត្តិ	ប・ទ・េ・ស・ប・ញ・្・ញ・ត・្・ត・ិ
បទេសប្បញ្ញត្តិ	បទេសប្បញ្ញត្តិ	ប・ទ・េ・ស・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
បន្សុទ្ធចិត្ត	បន្សុទ្ធ|ចិត្ត	ប・ន・្・ស・ុ・ទ・្・ធ・ច・ិ・ត・្・ត
បរិចត្តបុគ្គល	បរិច|ត្ត|បុគ្គល	ប・រ・ិ・ច・ត・្・ត・ប・ុ・គ・្・គ・ល
បរិច្ចត្តគ្រាហក	បរិច្ច|ត្ត|គ្រាហក	ប・រ・ិ・ច・្・ច・ត・្・ត・គ・្・រ・ា・ហ・ក
បរិច្ចត្តបុគ្គល	បរិច្ច|ត្ត|បុគ្គល	ប・រ・ិ・ច・្・ច・ត・្・ត・ប・ុ・គ・្・គ・ល
បរិត្ត	បរិត្ត	ប・រ・ិ・ត・្・ត
បរិត្តផរណា	បរិត្ត|ផរណា	ប・រ・ិ・ត・្・ត・ផ・រ・ណ・ា
បរិត្តផរណាករ	បរិត្ត|ផរណាករ	ប・រ・ិ・ត・្・ត・ផ・រ・ណ・ា・ក・រ
បរិយត្តិ	បរិយត្តិ	ប・រ・ិ・យ・ត・្・ត・ិ
បរិយត្តិធម៌	បរិយត្តិ|ធម៌	ប・រ・ិ・យ・ត・្・ត・ិ・ធ・ម・៌
បរិវត្តន៍	បរិវត្តន៍	ប・រ・ិ・វ・ត・្・ត・ន・៍
បរិវត្តន៍វប្បធម៌	បរិវត្តន៍|វប្បធម៌	ប・រ・ិ・វ・ត・្・ត・ន・៍・វ・ប・្・ប・ធ・ម・៌
បវត្តិ	បវត្តិ	ប・វ・ត・្・ត・ិ
បវត្តិការណ៍	បវត្តិ|ការណ៍	ប・វ・ត・្・ត・ិ・ក・ា・រ・ណ・៍
បវត្តិកាល	បវត្តិ|កាល	ប・វ・ត・្・ត・ិ・ក・ា・ល
បវត្តិរូប	បវត្តិ|រូប	ប・វ・ត・្・ត・ិ・រ・ូ・ប
បវត្តិសាស្ត្រ	បវត្តិ|សាស្ត្រ	ប・វ・ត・្・ត・ិ・ស・ា・ស・្・ត・្・រ
បវត្តិហេតុ	បវត្តិ|ហេតុ	ប・វ・ត・្・ត・ិ・ហ・េ・ត・ុ
បាក់ចិត្ត	បាក់|ចិត្ត	ប・ា・ក・់・ច・ិ・ត・្・ត
បាចិត្តិយៈ	បាចិត្តិយៈ	ប・ា・ច・ិ・ត・្・ត・ិ・យ・ៈ
បានចិត្ត	បាន|ចិត្ត	ប・ា・ន・ច・ិ・ត・្・ត
បាបចិត្ត	បាប|ចិត្ត	ប・ា・ប・ច・ិ・ត・្・ត
បាបមិត្ត	បាប|មិត្ត	ប・ា・ប・ម・ិ・ត・្・ត
បាយបត្តបូរ	បាយ|បត្ត|បូរ	ប・ា・យ・ប・ត・្・ត・ប・ូ・រ
បារាជិកាបត្តិ	បារាជិកាបត្តិ	ប・ា・រ・ា・ជ・ិ・ក・ា・ប・ត・្・ត・ិ
បិណ្ឌបាតចារិកវត្ត	បិណ្ឌ|បាត|ចារិក|វត្ត	ប・ិ・ណ・្・ឌ・ប・ា・ត・ច・ា・រ・ិ・ក・វ・ត・្・ត
បិត្តបូរ	បិត្ត|បូរ	ប・ិ・ត・្・ត・ប・ូ・រ
បិត្តាស័យ	បិត្តា|ស័យ	ប・ិ・ត・្・ត・ា・ស・័・យ
បិត្តុម្មត្តកៈ	បិត្តុម្មត្តកៈ	ប・ិ・ត・្・ត・ុ・ម・្・ម・ត・្・ត・ក・ៈ
បិត្តុម្មត្តកៈ	បិត្តុម្មត្តកៈ	ប・ិ・ត・្・ត・ុ・ម・្・ម・ត・្・ត・ក・ៈ
បិសាចុម្មត្តកៈ	បិសា|ចុម្មត្តកៈ	ប・ិ・ស・ា・ច・ុ・ម・្・ម・ត・្・ត・ក・ៈ
បុគ្គលប្បញ្ញត្តិ	បុគ្គល|ប្បញ្ញត្តិ	ប・ុ・គ・្・គ・ល・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
បុញ្ញក្ខេត្ត	បុញ្ញ|ក្ខេត្ត	ប・ុ・ញ・្・ញ・ក・្・ខ・េ・ត・្・ត
បុត្ត	បុត្ត	ប・ុ・ត・្・ត
បុត្តភាព	បុត្ត|ភាព	ប・ុ・ត・្・ត・ភ・ា・ព
បុត្តលាភ	បុត្ត|លាភ	ប・ុ・ត・្・ត・ល・ា・ភ
បុត្តវិប្បយោគ	បុត្ត|វិប្ប|យោគ	ប・ុ・ត・្・ត・វ・ិ・ប・្・ប・យ・ោ・គ
បុត្តា	បុត្តា	ប・ុ・ត・្・ត・ា
បុត្តាធីន	បុត្តា|ធីន	ប・ុ・ត・្・ត・ា・ធ・ី・ន
បុនរាព្រឹត្តិ	បុន|រា|ព្រឹត្តិ	ប・ុ・ន・រ・ា・ព・្・រ・ឹ・ត・្・ត・ិ
បុនរុត្តិ	បុន|រុត្តិ	ប・ុ・ន・រ・ុ・ត・្・ត・ិ
